"","Sample Size","umax","Event Rate","Proportion Censored","Proportion Event 1","Proportion Event 2"
"1",100,1,0.3,0.532,0.157,0.311
"2",100,1,0.5,0.504,0.241,0.255
"3",100,0.25,0.3,0.809,0.057,0.135
"4",100,0.25,0.5,0.796,0.089,0.115
"5",100,0.55,0.3,0.67,0.104,0.226
"6",100,0.55,0.5,0.649,0.163,0.188
"7",200,1,0.3,0.531,0.16,0.309
"8",200,1,0.5,0.503,0.24,0.257
"9",200,0.25,0.3,0.811,0.057,0.133
"10",200,0.25,0.5,0.797,0.09,0.113
"11",200,0.55,0.3,0.668,0.106,0.226
"12",200,0.55,0.5,0.648,0.164,0.187
"13",50,1,0.3,0.528,0.161,0.311
"14",50,1,0.5,0.502,0.24,0.257
"15",50,0.25,0.3,0.813,0.066,0.177
"16",50,0.25,0.5,0.799,0.09,0.125
"17",50,0.55,0.3,0.665,0.108,0.228
"18",50,0.55,0.5,0.649,0.163,0.189
